,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
270,CHEMBL3348835,Cc1cc(CS(=O)(=O)c2ccccc2)cc(OCc2ccc(CN3CCC[C@H]3CO)cc2)c1,active,465.61500000000035,4.504620000000005,1.0,5.0,6.153044674980176
271,CHEMBL4077280,Cc1cc(CS(=O)(=O)c2ccccc2)cc(OCc2ccc(CN3CC[C@H](O)C3)cc2)c1,active,451.5880000000003,4.114520000000003,1.0,5.0,8.2839966563652
272,CHEMBL4061789,Cc1cc(CS(=O)(=O)c2ccccc2)cc(OCc2ccc(CN3C[C@@H](O)[C@H](O)C3)cc2)c1,active,467.5870000000003,3.085320000000001,2.0,6.0,8.193820026016112
273,CHEMBL4063424,Cc1cc(CS(=O)(=O)c2ccccc2)cc(OCc2ccc(CN3C[C@H](O)[C@H](O)C3)cc2)c1,active,467.5870000000003,3.085320000000001,2.0,6.0,7.42021640338319
274,CHEMBL4090361,O=S(=O)(Cc1cccc(OCc2ccc(CN3CCC[C@@H]3CO)cc2)c1)c1ccccc1,active,451.5880000000002,4.196200000000004,1.0,5.0,7.455931955649724
276,CHEMBL4066270,OC[C@H]1CCCN1Cc1ccc(COc2cccc(C3CCCCC3)c2)cc1,active,379.54400000000027,5.270000000000006,1.0,3.0,8.823908740944319
277,CHEMBL4086094,CC(C)c1cccc(OCc2ccc(CN3CCC[C@@H]3CO)cc2)c1,active,339.479,4.3457000000000034,1.0,3.0,7.721246399047171
278,CHEMBL4104017,Cc1nc(-c2cccc(OCc3ccc(CN4CCC[C@@H]4CO)cc3)c2)no1,active,379.46000000000004,3.580720000000002,1.0,6.0,6.761953896871205
280,CHEMBL4060768,O=C(c1cc([C@H]2CCCN2c2cc(F)cc(F)c2)c2oc(N3CCOCC3)cc(=O)c2c1)N1CCOCC1,inactive,525.5520000000005,3.721700000000002,0.0,7.0,4.5376020021010435
281,CHEMBL1819205,CCCCCCCCCCCCCC[C@@H]1OC[C@@H](N)[C@@H]1O,active,299.49899999999997,4.164600000000003,2.0,3.0,6.086186147616283
282,CHEMBL4103173,CCCCCCCCc1ccccc1CC[C@@H]1OC[C@@H](N)[C@@H]1O,inactive,319.4890000000001,3.6092000000000017,2.0,3.0,4.522878745280337
283,CHEMBL4078892,CCCCCCCc1cccc(CC[C@@H]2OC[C@@H](N)[C@@H]2O)c1,inactive,305.462,3.219100000000001,2.0,3.0,4.522878745280337
284,CHEMBL4062604,CCCCCCCCc1cccc(CC[C@@H]2OC[C@@H](N)[C@@H]2O)c1,inactive,319.48900000000003,3.6092000000000013,2.0,3.0,4.795880017344075
285,CHEMBL4090570,CCCCCCCCCc1cccc(CC[C@@H]2OC[C@@H](N)[C@@H]2O)c1,inactive,333.5160000000001,3.9993000000000016,2.0,3.0,4.920818753952375
286,CHEMBL4071253,CCCCCCc1ccc(CC[C@@H]2OC[C@@H](N)[C@@H]2O)cc1,inactive,291.43499999999995,2.8289999999999997,2.0,3.0,4.522878745280337
288,CHEMBL4081791,CCCCCCCCCCc1ccc(CC[C@@H]2OC[C@@H](N)[C@@H]2O)cc1,active,347.54300000000006,4.389400000000004,2.0,3.0,6.376750709602099
289,CHEMBL4059874,CCCCCCCCCCCCc1ccc(CC[C@@H]2OC[C@@H](N)[C@@H]2O)cc1,active,375.59700000000004,5.169600000000005,2.0,3.0,6.055517327849832
290,CHEMBL4089663,CCCCCCCCCCCCCCc1ccc(CC[C@@H]2OC[C@@H](N)[C@@H]2O)cc1,inactive,403.6510000000001,5.949800000000007,2.0,3.0,4.522878745280337
291,CHEMBL4076550,N[C@@H]1CO[C@@H](CCCCCCCCCCCOCC2CCCCC2)[C@H]1O,active,369.59000000000015,4.571300000000005,2.0,4.0,6.42021640338319
292,CHEMBL4075031,N[C@@H]1CO[C@@H](CCCCCCCCCCOCC2CCCCC2)[C@H]1O,active,355.5630000000001,4.181200000000004,2.0,4.0,6.657577319177793
293,CHEMBL4101713,N[C@@H]1CO[C@@H](CCCCCCCCCOCC2CCCCC2)[C@H]1O,active,341.53600000000006,3.7911000000000032,2.0,4.0,6.173925197299173
295,CHEMBL4067667,CC(C)COCCCCCCCCCCC[C@@H]1OC[C@@H](N)[C@@H]1O,active,329.525,3.6470000000000025,2.0,4.0,6.1487416512809245
297,CHEMBL4078560,CCCCCCCCCOCCCC[C@@H]1OC[C@@H](N)[C@@H]1O,inactive,301.47099999999995,3.010900000000001,2.0,4.0,4.522878745280337
300,CHEMBL4087389,CCCCCCCCCCCCCC[C@@H]1OC[C@@H](NC(C)=O)[C@@H]1O,inactive,341.536,4.342000000000003,2.0,3.0,4.522878745280337
302,CHEMBL322333,CCCCCCCCCCCCC/C=C/[C@@H](O)[C@H](CO)N(C)C,inactive,327.55300000000005,4.5271000000000035,2.0,3.0,4.221848749616356
303,CHEMBL1076555,Oc1ccc(Nc2nc(-c3ccc(Cl)cc3)cs2)cc1,inactive,302.78600000000006,4.912700000000002,2.0,4.0,4.455931955649724
305,CHEMBL2158685,O=C(NCc1ccncc1)C12CC3CC(C1)CC(c1ccc(Cl)cc1)(C3)C2,inactive,380.9190000000001,4.889400000000005,1.0,2.0,4.0
306,CHEMBL3134157,Cc1cc(CS(=O)(=O)c2ccccc2)cc(OCc2ccc(CN3CCC[C@@H]3CO)cc2)c1,active,465.61500000000035,4.504620000000005,1.0,5.0,8.568636235841012
307,CHEMBL3287036,CCCCOc1ccc(CC/C=C2\SC(=O)N(CCN)C2=O)cc1,inactive,348.46800000000013,3.336100000000002,1.0,5.0,5.0
308,CHEMBL2158686,CCCCCCCCc1ccc(CC[C@@](N)(CO)COC)cc1,inactive,321.50500000000005,3.8584000000000023,2.0,3.0,4.301029995663981
310,CHEMBL4162455,CCCCOC(=O)Nc1ccc(C(O)CN2CCN(c3ccncc3)CC2)cc1,inactive,398.5070000000001,3.285800000000002,2.0,6.0,4.259637310505756
311,CHEMBL4173139,CCCCOC(=O)Nc1cccc(C(O)CN2CCN(c3ccncc3)CC2)c1,inactive,398.5070000000002,3.285800000000002,2.0,6.0,4.221848749616356
312,CHEMBL4170798,CC1Cc2c(N/N=C/c3ccc(Cl)cc3)ncnc2N(C)c2ccccc21,inactive,377.87900000000013,5.003500000000003,1.0,5.0,4.920818753952375
313,CHEMBL4245507,O=C(Cc1cccc(OCCCN2CCNCC2)c1)Nc1nc(-c2ccncc2)cs1,inactive,437.569,3.0604000000000005,2.0,7.0,5.0
314,CHEMBL1076555,Oc1ccc(Nc2nc(-c3ccc(Cl)cc3)cs2)cc1,inactive,302.78600000000006,4.912700000000002,2.0,4.0,4.455931955649724
315,CHEMBL3134157,Cc1cc(CS(=O)(=O)c2ccccc2)cc(OCc2ccc(CN3CCC[C@@H]3CO)cc2)c1,active,465.61500000000035,4.504620000000005,1.0,5.0,7.552841968657781
316,CHEMBL4090361,O=S(=O)(Cc1cccc(OCc2ccc(CN3CCC[C@@H]3CO)cc2)c1)c1ccccc1,active,451.5880000000002,4.196200000000004,1.0,5.0,6.841637507904751
317,CHEMBL4444218,O=S(=O)(Oc1cccc(OCc2ccc(CN3CCC[C@@H]3CO)cc2)c1)c1ccccc1,active,453.5600000000002,3.9900000000000038,1.0,6.0,7.958607314841775
318,CHEMBL4472026,OC[C@H]1CCCN1Cc1ccc(COc2cccc(CCc3ccccc3)c2)cc1,active,401.5500000000002,5.007500000000005,1.0,3.0,7.585026652029182
319,CHEMBL4574678,OC[C@H]1CCCN1Cc1ccc(COc2cccc(OCc3ccccc3)c2)cc1,active,403.52200000000016,4.801300000000005,1.0,4.0,7.853871964321762
320,CHEMBL4551903,OC[C@H]1CCCN1Cc1ccc(COc2cccc(OCc3ccccc3F)c2)cc1,active,421.51200000000017,4.940400000000005,1.0,4.0,7.3872161432802645
321,CHEMBL4474024,OC[C@H]1CCCN1Cc1ccc(COc2cccc(OCc3cccc(F)c3)c2)cc1,active,421.51200000000017,4.940400000000005,1.0,4.0,8.045757490560675
322,CHEMBL4456309,OC[C@H]1CCCN1Cc1ccc(COc2cccc(OCc3ccc(F)cc3)c2)cc1,active,421.51200000000017,4.940400000000005,1.0,4.0,6.769551078621726
323,CHEMBL4454855,OC[C@H]1CCCN1Cc1ccc(COc2cccc(OCc3ccccc3Cl)c2)cc1,active,437.9670000000002,5.454700000000006,1.0,4.0,7.4089353929735005
324,CHEMBL4455113,OC[C@H]1CCCN1Cc1ccc(COc2cccc(OCc3cccc(Cl)c3)c2)cc1,active,437.9670000000002,5.454700000000006,1.0,4.0,7.356547323513812
328,CHEMBL4578165,OC[C@H]1CCCN1Cc1ccc(COc2cccc(SCc3ccccc3)c2)cc1,active,419.59000000000015,5.514600000000006,1.0,4.0,6.863279432843593
329,CHEMBL4593030,OC[C@H]1CCCN1Cc1ccc(COc2cccc(SCc3ccc(F)cc3)c2)cc1,active,437.58000000000015,5.653700000000006,1.0,4.0,6.116338564846382
