molecule_chembl_id,canonical_smiles,bioactivity_class,standard_value
CHEMBL2409875,OC[C@H]1CCCCN1CCc1ccc(Nc2nc(-c3ccccc3C(F)(F)F)cs2)cc1,active,170.0
CHEMBL2407119,OC[C@H]1CCCCN1CCc1ccc(Nc2nc(-c3ccccc3Cl)cs2)cc1,active,150.0
CHEMBL2409851,OCC1CCCCN1CCc1ccc(Nc2nc(-c3ccc4ccccc4c3)cs2)cc1,active,140.0
CHEMBL2409846,OC[C@H]1C[C@@H](O)CCN1CCc1ccc(Nc2nc(C3CCCC3)cs2)cc1,active,130.0
CHEMBL2409867,OC[C@H]1C[C@@H](O)CN1CCc1ccc(Nc2nc(-c3ccc(Cl)c(Cl)c3)cs2)cc1,active,130.0
CHEMBL2409872,OC[C@H]1CCCCN1CCc1ccc(Nc2nc(-c3ccccc3F)cs2)cc1,active,120.0
CHEMBL2409877,OC[C@H]1CCCCN1CCc1ccc(Nc2nc(-c3ccc(Cl)cc3)cs2)cc1,active,80.0
CHEMBL2409859,OC[C@H]1CCCCN1CCc1ccc(Nc2nc(-c3ccc4ccccc4c3)cs2)cc1,active,80.0
CHEMBL2409892,CCCCc1csc(Nc2ccc(CCN3CC[C@H](O)C[C@@H]3CO)cc2)n1,active,70.0
CHEMBL2409879,OC[C@H]1C[C@@H](O)CCN1CCc1ccc(Nc2nc(-c3ccccc3)cs2)cc1,active,70.0
CHEMBL2409885,COc1cccc(-c2csc(Nc3ccc(CCN4CC[C@H](O)C[C@@H]4CO)cc3)n2)c1,active,50.0
CHEMBL2409890,COc1ccc(-c2csc(Nc3ccc(CCN4CC[C@H](O)C[C@@H]4CO)cc3)n2)cc1,active,30.0
CHEMBL2409870,OC[C@H]1C[C@H](O)CN1CCCc1ccc(Nc2nc(-c3ccc(Cl)c(Cl)c3)cs2)cc1,active,30.0
CHEMBL2409868,OC[C@H]1C[C@@H](O)CN1CCCc1ccc(Nc2nc(-c3ccc(Cl)c(Cl)c3)cs2)cc1,active,30.0
CHEMBL2409891,OC[C@H]1C[C@@H](O)CCN1CCc1ccc(Nc2nc(-c3ccc(C(F)(F)F)cc3)cs2)cc1,active,20.0
CHEMBL2409883,OC[C@H]1C[C@@H](O)CCN1CCc1ccc(Nc2nc(-c3cccc(Cl)c3)cs2)cc1,active,20.0
CHEMBL2409880,OC[C@H]1C[C@@H](O)CCN1CCc1ccc(Nc2nc(-c3ccccc3F)cs2)cc1,active,20.0
CHEMBL2409865,OC[C@H]1C[C@@H](O)CCN1CCc1ccc(Nc2nc(-c3ccc(Cl)c(Cl)c3)cs2)cc1,active,20.0
CHEMBL2409861,OC[C@H]1C[C@@H](O)CCN1CCc1ccc(Nc2nc(-c3ccc4ccccc4c3)cs2)cc1,active,20.0
CHEMBL2407198,OC[C@H]1C[C@@H](O)CCN1CCc1ccc(Nc2nc(C3CCCCC3)cs2)cc1,active,10.0
CHEMBL2409884,Cc1cccc(-c2csc(Nc3ccc(CCN4CC[C@H](O)C[C@@H]4CO)cc3)n2)c1,active,10.0
CHEMBL2409881,OC[C@H]1C[C@@H](O)CCN1CCc1ccc(Nc2nc(-c3ccccc3Cl)cs2)cc1,active,10.0
CHEMBL2409888,OC[C@H]1C[C@@H](O)CCN1CCc1ccc(Nc2nc(-c3ccc(Cl)cc3)cs2)cc1,active,8.0
CHEMBL2409889,Cc1ccc(-c2csc(Nc3ccc(CCN4CC[C@H](O)C[C@@H]4CO)cc3)n2)cc1,active,7.0
CHEMBL2409848,OC[C@H]1C[C@@H](O)CCN1CCc1ccc(Nc2nc(-c3cccc(C(F)(F)F)c3F)cs2)cc1,active,5.0
CHEMBL2407197,OC[C@H]1C[C@@H](O)CCN1CCc1ccc(Nc2nc(C34CC5CC(CC(C5)C3)C4)cs2)cc1,active,5.0
CHEMBL2409886,OC[C@H]1C[C@@H](O)CCN1CCc1ccc(Nc2nc(-c3cccc(C(F)(F)F)c3)cs2)cc1,active,5.0
CHEMBL2409849,OC[C@H]1C[C@@H](O)CCN1CCc1ccc(Nc2nc(-c3ccc(C(F)(F)F)cc3F)cs2)cc1,active,4.0
CHEMBL2409850,OC[C@H]1C[C@@H](O)CCN1CCc1ccc(Nc2nc(-c3cc(C(F)(F)F)ccc3F)cs2)cc1,active,3.0
CHEMBL2409847,OC[C@H]1C[C@@H](O)CCN1CCc1ccc(Nc2nc(-c3ccc(Cl)cc3Cl)cs2)cc1,active,3.0
CHEMBL3086796,CCCCCCCCCCCCc1ccc(CCN2CCC[C@@H]2CO)cc1,intermediate,5300.0
CHEMBL3086799,CCCCCCCCc1ccc(CCN2CCC[C@@H]2CO)cc1,intermediate,2200.0
CHEMBL3086806,CCCCCCCCc1ccc(CCN2CCC(N)CC2)cc1,inactive,16900.0
CHEMBL3086811,CCCCCCCCc1ccc(CCN2CCC(O)CC2)cc1,intermediate,3600.0
CHEMBL3134157,Cc1cc(CS(=O)(=O)c2ccccc2)cc(OCc2ccc(CN3CCC[C@@H]3CO)cc2)c1,active,28.0
CHEMBL3134156,CCCCCCCCCCCCCCOC[C@@H](O)[C@H](C)N(C)C,inactive,27800.0
CHEMBL1835439,CCCCCCCCCCCCCCC[C@@H](O)[C@H](C)N,intermediate,7100.0
CHEMBL3134155,CCCCCCCCCCCCCCC[C@@H](O)[C@H](CO)NC(=S)Nc1cccc(C(F)(F)F)c1,inactive,69000.0
CHEMBL3287035,CCCCCCCCCCCCC/C=C/[C@H](O)[C@@H](CO)NC(=N)N.Cl,active,40.0
CHEMBL3334679,Cc1csc(Nc2nc(-c3nccs3)cs2)n1,intermediate,7300.0
CHEMBL3416759,C[C@@H](NC(=O)[C@H]1NCC[C@@H]1O)c1ccc(-c2noc(CCC3CCCC3)n2)cc1,active,58.0
CHEMBL3086811,CCCCCCCCc1ccc(CCN2CCC(O)CC2)cc1,intermediate,3600.0
CHEMBL2409891,OC[C@H]1C[C@@H](O)CCN1CCc1ccc(Nc2nc(-c3ccc(C(F)(F)F)cc3)cs2)cc1,active,20.0
CHEMBL322333,CCCCCCCCCCCCC/C=C/[C@@H](O)[C@H](CO)N(C)C,inactive,35790.0
CHEMBL3735039,CCCCCCCCCCCCCC(=O)Nc1nc2ccccc2[nH]1,inactive,40520.0
CHEMBL3736205,CCCOc1ccc(N2C(=O)CC(Nc3ccc(CCO)cc3)C2=O)cc1,inactive,61600.0
CHEMBL3735192,O=C(N/N=C/c1cccc(OCc2ccccc2)c1)c1cc(O)c(O)c(O)c1,inactive,23070.0
CHEMBL3763321,OC[C@H]1C[C@H](O)CN1CCCc1ccc(Nc2nc(-c3cccc(C(F)(F)F)c3)cs2)cc1,active,20.0
CHEMBL3134157,Cc1cc(CS(=O)(=O)c2ccccc2)cc(OCc2ccc(CN3CCC[C@@H]3CO)cc2)c1,active,3.0
CHEMBL3134157,Cc1cc(CS(=O)(=O)c2ccccc2)cc(OCc2ccc(CN3CCC[C@@H]3CO)cc2)c1,active,28.0
CHEMBL3134157,Cc1cc(CS(=O)(=O)c2ccccc2)cc(OCc2ccc(CN3CCC[C@@H]3CO)cc2)c1,active,387.0
CHEMBL3764032,Oc1ccc(Nc2nnc(-c3ccc(I)cc3)o2)cc1,inactive,20000.0
